,Student_Id,Sem,subject code,subject,subject_short,grade,credits
763,21pa1a6119,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,O,1.5
764,21pa1a6119,I B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 7.15
765,21pa1a6119,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,D,3
766,21pa1a6119,I B.Tech - II Semester,  20IT2T01,  PROGRAMMING FOR PROBLEM SOLVING, PPS,B,3
767,21pa1a6119,I B.Tech - II Semester,  20BS2T04,  APPLIED CHEMISTRY, AC,D,3
768,21pa1a6119,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
769,21pa1a6119,I B.Tech - II Semester,  20EC2T02,  DIGITAL LOGIC DESIGN, DLD,C,3
770,21pa1a6119,I B.Tech - II Semester,  20IT2P01,  PROGRAMMING FOR PROBLEM SOLVING LAB, PPS LAB,S,1.5
771,21pa1a6119,I B.Tech - II Semester,  20CS2P03,  COMPUTER ENGINEERING WORKSHOP LAB, CEW LAB,S,3
772,21pa1a6119,I B.Tech - II Semester,  20CS2P04,  ADVANCED PYTHON PROGRAMMING LAB, APP LAB,S,1.5
773,21pa1a6119,I B.Tech - II Semester,  20BS2P03,  APPLIED CHEMISTRY LAB, AC LAB,S,1.5
774,21pa1a6119,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 7
775,21pa1a6119,II B.Tech - I Semester,  20IT3T01,  Database Management Systems, DBMS,C,3
776,21pa1a6119,II B.Tech - I Semester,  20IT3T02,  Object Oriented Programming through Java, OOPthJAVA,B,3
777,21pa1a6119,II B.Tech - I Semester,  20BS3T02,  Probability & Statistics, P & S,D,3
778,21pa1a6119,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
779,21pa1a6119,II B.Tech - I Semester,  20IT3P02,  Object Oriented Programming through Java Lab, OOP th Java Lab,O,1.5
780,21pa1a6119,II B.Tech - I Semester,  20BS3T04,  Discrete Mathematical Structures, DMS,C,3
781,21pa1a6119,II B.Tech - I Semester,  20IT3P01,  Database Management Systems Lab, DBMS Lab,O,1.5
782,21pa1a6119,II B.Tech - I Semester,  20CS3T01,  Data Structures, DS,A,3
783,21pa1a6119,II B.Tech - I Semester,  20CS3P01,  Data Structures Lab, DS Lab,S,1.5
784,21pa1a6119,II B.Tech - I Semester,  20CS3P02,  Web Application Development Using Full Stack - Module - I, WADUFSM-I,A,2
785,21pa1a6119,II B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 7.23
786,21pa1a6119,II B.Tech - II Semester,  20CS4T02,  Operating Systems, OS,C,3
787,21pa1a6119,II B.Tech - II Semester,  20AD4T01,  Data warehousing and Mining, DWH&M,C,3
788,21pa1a6119,II B.Tech - II Semester,  20AM4T01,  Fundamentals of ArtificialIntelligence & MachineLearning, FAI&ML,A,3
789,21pa1a6119,II B.Tech - II Semester,  20IT4T01,  Software Engineering, SE,C,3
790,21pa1a6119,II B.Tech - II Semester,  20CS4P02,  OS Lab, OS Lab,S,1.5
791,21pa1a6119,II B.Tech - II Semester,  20AM4P01,  Fundamentals of ArtificialIntelligence & MachineLearningLab, FAI&ML Lab,S,1.5
792,21pa1a6119,II B.Tech - II Semester,  20AD4P01,  Data Mining using Python Lab, DMP Lab,S,1.5
793,21pa1a6119,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
794,21pa1a6119,II B.Tech - II Semester,  20IT4P03,  Web Application Development Using Full Stack-Module - II, WADUFSM-II,O,2
795,21pa1a6119,II B.Tech - II Semester,  20AM4J01,  Community Service Project, CSP,O,4
796,21pa1a6119,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,A,3
797,21pa1a6119,II B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 7.94
798,21pa1a6120,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,S,3
799,21pa1a6120,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,B,3
800,21pa1a6120,I B.Tech - I Semester,  20BS1T04,  APPLIED PHYSICS, AP,S,3
801,21pa1a6120,I B.Tech - I Semester,  20EE1T01,  ELEMENTS OF ELECTRICAL AND ELECTRONICS ENGINEERING, EEEE,A,3
802,21pa1a6120,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,S,3
803,21pa1a6120,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,O,1.5
804,21pa1a6120,I B.Tech - I Semester,  20BS1P04,  APPLIED PHYSICS LAB, AP Lab,O,1.5
805,21pa1a6120,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,O,1.5
806,21pa1a6120,I B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 8.77
807,21pa1a6120,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,A,3
808,21pa1a6120,I B.Tech - II Semester,  20IT2T01,  PROGRAMMING FOR PROBLEM SOLVING, PPS,S,3
809,21pa1a6120,I B.Tech - II Semester,  20BS2T04,  APPLIED CHEMISTRY, AC,A,3
810,21pa1a6120,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
811,21pa1a6120,I B.Tech - II Semester,  20EC2T02,  DIGITAL LOGIC DESIGN, DLD,A,3
