,Student_Id,Sem,subject code,subject,subject_short,grade,credits
48,21PA1A0102,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,S,1.5
49,21PA1A0102,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,A,1.5
50,21PA1A0102,I B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 7.31
51,21PA1A0102,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,B,3
52,21PA1A0102,I B.Tech - II Semester,  20BS2T02,  ENGINEERING CHEMISTRY, EG,C,3
53,21PA1A0102,I B.Tech - II Semester,  20CE2T02,  ENGINEERING MECHANICS, EM,C,3
54,21PA1A0102,I B.Tech - II Semester,  20CE2P01,  BUILDING PLANNING & COMPUTER AIDED BUILDING DRAWING, BP&CABD,S,1.5
55,21PA1A0102,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
56,21PA1A0102,I B.Tech - II Semester,  20CE2T01,  BUILDING MATERIAL AND CONCRETE TECHNOLOGY, BM&CT,C,3
57,21PA1A0102,I B.Tech - II Semester,  20ME2P01,  ENGINEERING WORKSHOP, EW,S,1.5
58,21PA1A0102,I B.Tech - II Semester,  20BS2P01,  ENGINEERING CHEMISTRY LAB, EC LAB,S,1.5
59,21PA1A0102,I B.Tech - II Semester,  20CS2P01,  COMPUTER PROGRAMMING LAB, CP LAB,A,3
60,21PA1A0102,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 7.15
61,21PA1A0102,II B.Tech - I Semester,  20CE3T02,  Fluid Mechanics, FM,D,3
62,21PA1A0102,II B.Tech - I Semester,  20CE3T01,  Strength of Materials -I, SOM-I,A,3
63,21PA1A0102,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
